OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,35.25364,-99.646878
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.019192,-90.50202
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,33.539534,-112.373957
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,33.539534,-112.373957
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.354353,-94.426397
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,39.93484,-75.00489
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.743242,-78.646498
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.774875,-97.627508
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.429438,-85.92052
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.959251,-85.888222
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.239106,-95.864271
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,46.85127,-100.26709
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.486987,-107.868585
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.56039,-75.55826
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,39.664685,-75.566167
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,32.73093,-117.206553
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,39.76471,-105.60028
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,29.877566,-90.435846
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,43.323835,-83.874172
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,43.323835,-83.874172
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,43.323835,-83.874172
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,43.323835,-83.874172
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,43.323835,-83.874172
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,43.323835,-83.874172
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.354882,-109.052124
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.778688,-111.596545
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.884075,-87.56224
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,39.118898,-88.554194
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,39.118898,-88.554194
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,39.118898,-88.554194
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,41.45335,-90.02912
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,41.45335,-90.02912
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,41.45335,-90.02912
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,40.113337,-85.5726
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,41.017558,-85.171635
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,40.930235,-100.100822
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.369914,-81.660992
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.283941,-81.983801
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,30.469044,-90.960085
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,41.579279,-87.25305
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,41.321194,-87.198978
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,31.612278,-94.65172
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,41.239106,-95.864271
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,44.263966,-104.94438
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,42.76361,-93.365608
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,43.13325,-93.353114
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,41.52172,-94.31834
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,35.1514,-90.185285
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,40.549574,-103.274594
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,38.82358,-97.610411
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,41.567378,-87.472534
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,41.567413,-87.47286
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,39.014667,-83.809643
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,30.404027,-88.788015
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,47.663705,-122.153973
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,37.353338,-84.340474
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,29.19339,-82.136635
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,29.19339,-82.136635
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,47.891346,-122.732318
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,40.755633,-73.945481
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,30.234219,-92.192428
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,29.982699,-90.057348
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,38.895986,-99.317099
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,35.1514,-90.185285
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,39.699558,-79.158698
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,47.501115,-111.300389
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,45.346834,-118.155719
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,38.612677,-95.26837
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,41.912283,-83.435455
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,41.912283,-83.435455
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,41.912283,-83.435455
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,41.912283,-83.435455
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,41.912283,-83.435455
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.962723,-87.400079
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,39.296138,-85.957646
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,38.954795,-95.260629
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,41.270242,-102.436977
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,38.160232,-96.562612
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,42.118225,-72.539526
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.129029,-94.770363
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.054539,-101.70585
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,41.41457,-112.04465
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,28.83944,-81.33562
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,41.69161,-86.235822
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,42.097994,-75.917039
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,42.097994,-75.917039
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,42.097994,-75.917039
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,42.097994,-75.917039
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,30.369914,-81.660992
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,43.19618,-73.65178
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,43.19618,-73.65178
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.593176,-87.502724
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.961001,-95.262445
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.553325,-114.510731
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,40.242419,-82.87095
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,41.016563,-81.868423
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,40.290233,-83.031788
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,41.539388,-83.644796
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.393761,-97.602513
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,35.479513,-97.265703
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,32.53877,-82.921248
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,41.236828,-96.395908
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,37.939289,-77.465754
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.125011,-84.851654
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.410496,-95.52837
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,45.346834,-118.155719
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.496498,-80.862668
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.493962,-105.880431
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,32.425602,-88.448021
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,48.94599,-97.31989
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,40.728926,-73.831069
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,27.53548,-99.483817
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.974864,-109.693715
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,36.337705,-84.009637
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,35.903764,-84.140798
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,32.73093,-117.206553
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.040253,-104.831363
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,39.982772,-81.460199
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,34.28974,-83.82999
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.607018,-88.657161
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.431534,-86.897166
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.366671,-89.15216
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,41.366671,-89.15216
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,41.366671,-89.15216
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,41.366671,-89.15216
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.858852,-92.403179
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.589885,-87.346784
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,32.778688,-111.596545
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,41.113154,-85.12887
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,41.113154,-85.12887
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,30.244597,-92.513464
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.543283,-122.392093
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.594274,-109.246355
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.203165,-119.766964
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,46.203165,-119.766964
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,31.20518,-85.38188
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,38.987947,-93.569319
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.132458,-102.967539
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,43.635619,-72.253096
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,41.53987,-74.20728
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,39.66201,-82.43349
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,41.823989,-75.683066
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,41.823989,-75.683066
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,41.823989,-75.683066
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,41.823989,-75.683066
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,41.823989,-75.683066
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,41.823989,-75.683066
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.622238,-123.092707
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,39.589408,-76.065361
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,35.973011,-83.969472
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,34.356072,-117.615637
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,34.356072,-117.615637
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,34.356072,-117.615637
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,34.356072,-117.615637
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,34.356072,-117.615637
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,34.356072,-117.615637
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,31.918022,-106.598
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.84234,-75.19629
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,45.34306,-97.04594
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.118113,-79.000377
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,37.687288,-97.338469
692,BP,US-63,Ottumwa,IA,489,3.399,41.020163,-92.402658
739,Arco #364420,US-23,Greenup,KY,255,3.649,37.548483,-93.873197
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.390542,-104.687999
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,34.840335,-90.273188
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.01242,-89.897096
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.317835,-87.863096
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,42.317835,-87.863096
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,42.317835,-87.863096
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,32.750391,-81.640593
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.1514,-90.185285
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,35.1514,-90.185285
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,33.315248,-86.764143
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,32.688053,-86.810585
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,40.542793,-74.310168
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.596585,-112.013599
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667535,-114.217043
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.661634,-114.236236
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,32.73093,-117.206553
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.553325,-114.510731
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.664685,-75.566167
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,39.664685,-75.566167
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.188826,-82.637793
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,32.879207,-83.766621
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,32.879207,-83.766621
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.776319,-85.234411
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,32.53877,-82.921248
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,32.53877,-82.921248
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,33.466053,-82.501796
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,42.015823,-95.352878
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,42.570838,-92.786336
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,42.605539,-114.209203
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,42.426933,-87.915438
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,42.426933,-87.915438
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779,42.426933,-87.915438
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769,42.426933,-87.915438
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,38.150317,-88.903065
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,40.12958,-87.83902
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499,40.12958,-87.83902
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599,40.12958,-87.83902
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,39.56765,-89.66036
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.795363,-85.768886
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.82149,-85.916374
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,39.794788,-85.530438
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,,
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,39.516718,-85.779426
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,39.589408,-76.065361
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,41.478883,-87.054932
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,41.478883,-87.054932
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.40227,-96.19229
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.235503,-84.544494
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.839258,-85.722006
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.783415,-91.373357
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,42.519615,-71.777338
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,39.589408,-76.065361
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,39.118898,-88.554194
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,39.118898,-88.554194
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,39.118898,-88.554194
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,39.118898,-88.554194
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.274924,-85.587168
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,42.274924,-85.587168
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,42.20263,-85.93729
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,42.20263,-85.93729
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.675776,-92.953511
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,41.190154,-73.182978
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,46.091209,-67.841333
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.50338,-94.25338
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,40.892021,-74.264261
